차차, 56, 138
사자, 56, 133
차라, 57, 153
라다, 70, 174
라카, 62, 171
가가, 75, 168
가하, 56, 163
카타, 96, 166
마바, 55, 154
카카, 64, 142
마카, 67, 147
나파, 86, 151
아차, 79, 143
아하, 50, 163
마자, 71, 161
아다, 92, 140
라나, 47, 152
타다, 72, 131
하차, 79, 144
차차, 51, 144
가라, 93, 164
가아, 63, 140
아마, 85, 132
라파, 64, 141
바다, 88, 160
타카, 68, 131
가가, 53, 177
라마, 62, 139
바하, 63, 171
타마, 85, 165
사자, 56, 135
바하, 69, 130
다바, 86, 153
차라, 50, 172
바카, 71, 175
파자, 46, 176
바아, 60, 152
마아, 78, 138
마파, 68, 134
다사, 85, 146
사나, 96, 141
아가, 77, 163
가아, 52, 135
하마, 71, 168
카자, 64, 151
바나, 89, 160
다마, 71, 138
타라, 56, 135
사아, 79, 153
타하, 53, 143
파마, 65, 159
아카, 40, 164
파하, 80, 162
자마, 89, 141
바하, 74, 165
아마, 69, 148
바자, 86, 174
자파, 60, 168
나카, 55, 149
가나, 63, 170
파타, 95, 164
사마, 74, 178
차마, 72, 134
자나, 55, 176
가차, 84, 168
자카, 48, 136
카가, 60, 162
라사, 65, 141
다마, 59, 178
사자, 92, 150
차자, 44, 172
타카, 96, 141
카나, 93, 169
아다, 51, 154
타다, 85, 172
가다, 71, 152
라사, 46, 148
아다, 92, 164
바나, 41, 179
자차, 43, 148
나파, 81, 147
바나, 52, 130
타타, 90, 132
사하, 67, 154
자바, 84, 154
파나, 73, 149
라카, 75, 148
카나, 78, 169
사타, 71, 140
카아, 75, 136
자자, 53, 159
바바, 40, 132
사다, 74, 146
라차, 63, 177
사사, 98, 159
라바, 85, 162
바사, 71, 158
자파, 52, 138
자사, 55, 167
라자, 83, 144
바마, 80, 152
타바, 49, 178
차카, 75, 140
사카, 92, 151
마하, 47, 142
나타, 66, 144
파자, 63, 138
하사, 42, 132
라라, 75, 162
차카, 94, 152
바다, 99, 144
바아, 99, 152
자하, 70, 131
파사, 91, 177
타자, 48, 146
바나, 78, 133
나자, 74, 135
바파, 42, 171
아카, 66, 132
차자, 94, 138
자바, 90, 178
바바, 49, 138
다사, 59, 179
나하, 95, 176
차카, 64, 172
나나, 65, 176
자아, 45, 178
아가, 59, 141
다자, 55, 140
마라, 88, 167
파아, 92, 160
마마, 64, 140
가바, 53, 176
차파, 80, 135
자마, 45, 139
카다, 87, 176
카사, 54, 173
나바, 66, 138
차차, 49, 147
라카, 70, 159
카파, 64, 166
마아, 44, 159
사다, 48, 140
다아, 46, 177
